epoch,median_cm,p90_cm,lr,time_sec
1,40.0,100.0,5e-05,182.37347435951233
2,31.6227766016838,85.44003745317532,5e-05,188.11566424369812
3,28.284271247461906,70.71067811865476,5e-05,188.21146440505981
4,22.360679774997898,70.85071285771714,5e-05,188.28981018066406
5,22.360679774997898,63.2455532033676,2.5e-05,187.79595851898193
6,14.142135623730953,50.0,2.5e-05,187.61822986602783
7,14.142135623730953,44.721359549995796,2.5e-05,188.0671784877777
8,14.142135623730953,50.99019513592785,2.5e-05,188.12806034088135
9,14.142135623730953,50.0,2.5e-05,188.42660760879517
10,14.142135623730953,44.721359549995796,1.25e-05,188.09589219093323
