epoch,median_cm,p90_cm,time_sec
1,50.99019513592785,136.01470508735443,202.36666131019592
2,31.6227766016838,82.70118263535625,208.64667010307312
3,30.000000000000004,70.71067811865476,209.50274181365967
4,22.360679774997898,80.6225774829855,210.18270444869995
5,22.360679774997898,63.2455532033676,209.68922758102417
6,20.0,50.0,210.14442229270935
7,20.0,50.0,210.5279459953308
8,14.142135623730953,50.99019513592785,209.93937301635742
9,14.142135623730953,50.0,209.83645248413086
10,14.142135623730953,44.721359549995796,209.64025783538818
