epoch,median_cm,p90_cm,time_sec
1,917.3330506025934,1218.031198286809,183.2048089504242
2,196.46882704388503,1159.655121145938,186.52071237564087
3,92.19544457292888,1018.4594833690019,186.391676902771
4,50.0,161.245154965971,186.44431686401367
5,41.231056256176615,130.38404810405297,186.55459308624268
6,36.05551275463989,114.01754250991381,186.53857684135437
7,36.05551275463989,111.80339887498948,186.4674515724182
8,31.6227766016838,100.0,186.58746814727783
9,31.6227766016838,104.40306508910551,186.41877722740173
10,30.000000000000004,94.33981132056604,186.29083108901978
