epoch,median_cm,p90_cm,time_sec
1,72.11102550927978,165.5294535724685,277.1424255371094
2,53.851648071345046,130.2688336728372,282.2305417060852
3,50.0,130.0,281.83999156951904
4,42.42640687119285,119.1140997321597,281.50691294670105
5,40.0,110.45361017187261,280.5111458301544
6,40.0,116.61903789690602,280.64734506607056
7,36.05551275463989,121.40781334495902,279.06273651123047
8,31.6227766016838,111.80339887498948,279.6268033981323
9,31.6227766016838,117.04699910719624,279.93846464157104
10,30.000000000000004,110.45361017187261,278.8885681629181
